run,n,mono_ns,high_ns,tsc_cycles
586,65536,1760182,1737323,4191660
587,65536,1951356,1746449,4539528
588,65536,1720129,1760653,4823096
589,65536,1681872,1874763,4556830
590,65536,1718922,1743543,4192980
591,65536,2096560,2118136,4345106
592,65536,1818680,1765950,4762586
593,65536,1746045,1881006,4561836
594,65536,2299918,2493661,6093210
595,65536,2426093,2412109,6042712
596,65536,2415494,2458451,6068744
597,65536,2438218,2414813,6061336
598,65536,2413559,2441543,5989318
599,65536,2421147,2409978,6036376
600,65536,2413002,2441291,6015602
601,65536,2413869,2408538,6031122
602,65536,2408258,2323191,6025570
603,65536,2196886,2100559,5283246
604,65536,1889397,1897659,4763166
605,65536,1868706,1797546,4327402
606,65536,1685338,1766970,4408440
607,65536,2051121,1730861,4137766
608,65536,1722571,1752610,4406906
609,65536,1691679,1696035,4161666
610,65536,1738960,1664106,3992804
611,65536,1603918,2486623,6267192
612,65536,2499474,2517760,6260808
613,65536,2500541,2482166,6248820
614,65536,2498089,2536269,6219944
615,65536,2500473,2491981,6277050
616,65536,2500020,2205018,5813180
617,65536,2174348,1956147,5429452
618,65536,1927778,1949342,4793934
619,65536,1924627,1755588,4314382
620,65536,1758004,1580816,4237376
621,65536,1615223,1644033,4011816
622,65536,1908827,1889533,4650694
623,65536,1872605,1678892,4664732
624,65536,1725062,1817810,4187168
625,65536,1799708,1678638,4423262
626,65536,1722322,1781715,4196794
627,65536,1725089,1716728,4213268
628,65536,1943923,1695934,4630972
629,65536,1720650,1715261,4212010
630,65536,1813465,1701692,4297294
631,65536,1684343,1730724,4731158
632,65536,1718743,1734690,4174702
633,65536,1718596,1680892,4415578
634,65536,1680699,1739026,4193796
635,65536,1803607,1719931,4613996
636,65536,1684106,1932927,4299704
637,65536,1726587,1749471,4213010
638,65536,1686374,1699371,4277934
639,65536,1803683,1794139,4829942
640,65536,1719440,1705516,4176824
641,65536,1679930,1713344,4297062
642,65536,1681158,1692981,4182542
643,65536,1716865,1673099,4210230
644,65536,1718903,1802822,4188946
645,65536,1678326,1678550,4302094
646,65536,1719093,1782213,4272022
647,65536,1681226,1716329,4200288
648,65536,1722133,1705676,4404630
649,65536,1725815,1878248,4655286
650,65536,1761887,1770003,4498284
651,65536,1796499,1935208,4462050
652,65536,1815812,1730066,4202398
653,65536,1727487,1748532,4756788
654,65536,1845135,1865519,4387970
655,65536,1785607,1706508,4396488
656,65536,1679529,1699092,4181298
657,65536,1758351,1755679,4207218
658,65536,1809532,1739407,4283850
659,65536,1683505,1721656,4585622
660,65536,1721657,1734195,4185854
661,65536,1726548,1716046,4211830
662,65536,1686418,1718663,4387610
663,65536,1721387,1789979,5211904
664,65536,1816745,1900986,4627522
665,65536,1911281,1860324,4689390
666,65536,1871366,1983807,4655708
667,65536,1953466,1944719,4680372
668,65536,1873425,1880171,4661166
669,65536,1870523,1858340,4683174
670,65536,1870563,1882198,4669166
671,65536,1874551,2034707,4944098
672,65536,2145948,2316132,4847634
673,65536,1874789,1865273,4692604
674,65536,1874333,1892124,4651796
675,65536,1874644,1863217,4680808
676,65536,1868484,1886624,4663922
677,65536,1918489,1862060,4681716
678,65536,1875992,1882436,4664606
679,65536,1871632,1862913,4676434
680,65536,1872083,1816477,4660428
681,65536,2150510,1756079,4357774
682,65536,1795062,1798812,4494448
683,65536,2110281,1712288,4204032
684,65536,1682967,1691678,4278956
685,65536,1684874,1711102,4314754
686,65536,1739550,1703940,4187652
687,65536,1687269,1757256,4402782
688,65536,1712749,1777278,4366130
689,65536,1808876,2009405,4407832
690,65536,1757773,1781997,4379916
691,65536,1722448,1674976,4317078
692,65536,1724850,1756679,4317408
693,65536,1683881,1716424,4290988
694,65536,1732116,1737485,4293412
695,65536,1685887,1715119,4295944
696,65536,1722765,1730980,4192578
697,65536,1728411,1783302,4304754
698,65536,1686347,1735637,4278618
699,65536,1778088,1763711,4580086
700,65536,1725120,1778377,4429626
701,65536,1683283,1679441,4409572
702,65536,1720679,1732539,4296008
703,65536,1726520,1719704,4312544
704,65536,1804464,1752562,4277020
705,65536,1725395,1796574,4203288
706,65536,1750731,1785999,4665290
707,65536,1796895,1706464,4438392
708,65536,1718867,1734216,4559334
709,65536,1772084,1718132,4217394
710,65536,1685466,1714326,4385408
711,65536,1718098,1715639,4207700
712,65536,1804469,1738758,4292762
713,65536,1684279,1712963,4658234
714,65536,1735688,1782894,4385450
715,65536,1719205,1848608,4502816
716,65536,1895079,2259834,5237264
717,65536,1920535,1838276,4971078
718,65536,1768330,2482611,5843726
719,65536,2430104,2441943,6076944
720,65536,2462495,2665670,6058634
721,65536,2448985,2431945,6047430
722,65536,2538448,2464698,6050110
723,65536,2606467,2421403,6102804
724,65536,2465022,2528526,6372420
725,65536,2450191,2463124,6484538
726,65536,2481659,2286908,6075534
727,65536,2218940,2250133,5425220
728,65536,2245983,2146400,4802784
729,65536,1873461,1864610,4681036
730,65536,1870123,1879583,4663098
731,65536,1873449,1867064,4673754
732,65536,1872742,1883887,4656646
733,65536,1861226,1756425,4216214
734,65536,1729388,1625602,4379118
735,65536,1657284,1637029,4129326
736,65536,1739576,1665852,3984420
737,65536,1660924,1642623,4372836
738,65536,1602082,1660385,3977750
739,65536,1704055,1628196,4005920
740,65536,1604329,1729474,4674944
741,65536,1722684,2587944,7361658
742,65536,2050370,2068720,5652886
743,65536,2280605,2000394,5219512
744,65536,2003052,2199985,5011566
745,65536,2034351,2192321,5762464
746,65536,1985116,1976557,5741196
747,65536,1929037,2003535,5810522
748,65536,2097280,2003658,5655400
749,65536,2204838,1981771,5516380
750,65536,2223148,2175401,5117062
751,65536,2294194,2188549,5089176
752,65536,2252678,2344301,4951584
753,65536,2004533,2244243,4976396
754,65536,1939708,2218114,5273474
755,65536,2398170,2175004,11244744
756,65536,2391516,2107946,5088650
757,65536,2131559,2070543,5125118
758,65536,2009271,1985759,5005016
759,65536,1921966,1921175,4821584
760,65536,1928295,1942414,4788082
761,65536,1929349,1912749,4814142
762,65536,1928992,1938121,4792360
763,65536,1925281,1916380,4819722
764,65536,1925979,2030611,4781020
765,65536,2198426,2153724,5136944
766,65536,2122504,2065575,4804610
767,65536,2017697,2199943,5189554
768,65536,2195152,2107650,5309664
769,65536,2034366,2307203,5361064
770,65536,2419507,2312527,5698158
771,65536,2514467,2275684,5711934
772,65536,2455406,2429704,5643480
773,65536,2314576,2271331,6041116
774,65536,2276104,2429879,5583560
775,65536,2315794,2260528,5939688
776,65536,2261187,2308773,5729484
777,65536,2287653,2383807,5684680
778,65536,2249591,2284548,5597438
779,65536,2250110,2235311,5623390
780,65536,2243791,1997780,5596358
781,65536,2055009,1979247,4962252
782,65536,1843609,1791049,4412816
783,65536,1772200,1765832,4429638
784,65536,1773141,1827387,4409010
785,65536,1652722,1689295,4010902
786,65536,1600835,1717445,4293258
787,65536,1969194,1596667,4350846
788,65536,1652512,1667181,3981374
789,65536,1604521,1594923,3998942
790,65536,1608137,1621901,4111476
791,65536,1655784,1688330,4008820
792,65536,1642953,1664974,4093420
793,65536,1647190,1639403,4000956
794,65536,1653667,1665364,4336606
795,65536,1652065,1650146,4248648
796,65536,1646210,2463081,4120992
797,65536,2131144,2127667,5424420
798,65536,2296065,2218363,5250614
799,65536,2109223,2102645,5275454
800,65536,2105530,2129537,5512538
801,65536,2205037,2110302,5378284
802,65536,2157622,2132275,5256632
803,65536,2123262,2102139,5273506
804,65536,2026675,1895920,4656948
805,65536,1871210,1710625,4578100
806,65536,1717822,1947312,4183658
807,65536,1722319,1700209,4625334
808,65536,1809059,1783259,4387496
809,65536,1783766,1632336,4319880
810,65536,1685088,1790830,4387208
811,65536,1645502,1637059,4207998
812,65536,1715837,1741600,4415160
813,65536,1795219,1722636,4294024
814,65536,1876069,1694472,4076020
815,65536,1644194,1682989,4207008
816,65536,1685312,1657361,4203776
817,65536,1678454,1637484,4607838
818,65536,1640763,1702513,4187918
